timestamp,crossing,event,train_prob,signal,closed,maintenance_mode,raw_json
2026-03-29T14:58:54Z,Fourth,Clear,0,0.02416,False,False,"{""fourthStatus"":{""train"":0,""signal"":0.02416021},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-30T04:47:43Z,Fourth,Blocked,0.914655,0.120494,True,False,"{""fourthStatus"":{""train"":0.91465545,""signal"":0.12049429},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-30T04:47:43Z,Fourth,Train!,0.914655,0.120494,True,False,"{""fourthStatus"":{""train"":0.91465545,""signal"":0.12049429},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-30T05:11:16Z,Fourth,Blocked,0.99585,0.159098,True,False,"{""fourthStatus"":{""train"":0.99584973,""signal"":0.15909761},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-30T05:11:16Z,Fourth,Train!,0.99585,0.159098,True,False,"{""fourthStatus"":{""train"":0.99584973,""signal"":0.15909761},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-30T07:02:36Z,Fourth,Clear,0.021967,0.032928,False,False,"{""fourthStatus"":{""train"":0.02196732,""signal"":0.03292777},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-30T21:02:49Z,Fourth,Blocked,0.379709,0.008863,True,False,"{""fourthStatus"":{""train"":0.37970927,""signal"":0.0088625},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-30T21:02:49Z,Fourth,Train!,0.379709,0.008863,True,False,"{""fourthStatus"":{""train"":0.37970927,""signal"":0.0088625},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-30T21:07:49Z,Fourth,Clear,0.007694,0.038727,False,False,"{""fourthStatus"":{""train"":0.00769417,""signal"":0.03872747},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-31T02:52:28Z,Fourth,Blocked,1,0.038948,True,False,"{""fourthStatus"":{""train"":1,""signal"":0.03894813},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-31T02:52:28Z,Fourth,Train!,1,0.038948,True,False,"{""fourthStatus"":{""train"":1,""signal"":0.03894813},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-31T04:59:57Z,Fourth,Blocked,0.150796,0.068676,True,False,"{""fourthStatus"":{""train"":0.15079644,""signal"":0.06867633},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-31T04:59:57Z,Fourth,Train!,0.150796,0.068676,True,False,"{""fourthStatus"":{""train"":0.15079644,""signal"":0.06867633},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-31T06:18:46Z,Fourth,Clear,0.004036,0.049756,False,False,"{""fourthStatus"":{""train"":0.00403631,""signal"":0.04975579},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-31T07:49:40Z,Fourth,Blocked,0.919065,0.033692,True,False,"{""fourthStatus"":{""train"":0.91906506,""signal"":0.03369196},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-31T07:49:40Z,Fourth,Train!,0.919065,0.033692,True,False,"{""fourthStatus"":{""train"":0.91906506,""signal"":0.03369196},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":true,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-31T08:52:04Z,Fourth,Clear,0.009886,0.049071,False,False,"{""fourthStatus"":{""train"":0.00988592,""signal"":0.04907099},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
2026-03-31T20:03:51Z,Fourth,Train!,0.244192,0.197701,False,False,"{""fourthStatus"":{""train"":0.24419159,""signal"":0.19770053},""chestnutStatus"":{""train"":0,""signal"":0},""fourthClosed"":false,""chestnutClosed"":false,""maintenanceMode"":false,""maintenanceMessage"":""""}"
